#,   Rep, Win, BC,  BS,  RC,  RS,  Time
1642321811,   1,   2,   11,   0,   0,   10,   6231
1357999916,   1,   1,   2,   9,   10,   0,   11
734856255,   1,   1,   1,   10,   10,   0,   3730
595842575,   1,   0,   0,   11,   0,   10,   10000
1120645922,   1,   1,   3,   8,   1,   9,   18
1579448235,   1,   1,   1,   10,   2,   8,   27
583722707,   1,   1,   0,   11,   10,   0,   9440
769642477,   1,   2,   3,   8,   3,   7,   30
1997414028,   1,   1,   6,   5,   10,   0,   13
1390209623,   1,   4,   4,   7,   0,   10,   17
1783686476,   1,   2,   10,   1,   3,   7,   53
1186284355,   1,   1,   0,   11,   0,   10,   77
565350145,   1,   2,   2,   9,   1,   9,   14
2121026074,   1,   2,   6,   5,   0,   10,   18
1511643011,   1,   2,   6,   5,   5,   5,   30
139815779,   1,   1,   8,   3,   0,   10,   92
1678743638,   1,   1,   2,   9,   0,   10,   21
2132782451,   1,   2,   7,   4,   4,   6,   17
1531029533,   1,   2,   9,   2,   6,   4,   84
1226104288,   1,   1,   4,   7,   10,   0,   25
1690846932,   1,   2,   11,   0,   0,   10,   124
1081039629,   1,   1,   8,   3,   7,   3,   14
1543470261,   1,   1,   3,   8,   6,   4,   17
167006657,   1,   1,   3,   8,   10,   0,   40
1550505301,   1,   1,   8,   3,   9,   1,   21
220142821,   1,   2,   2,   9,   0,   10,   20
2130731323,   1,   4,   7,   4,   8,   2,   19
13252893,   1,   1,   3,   8,   5,   5,   25
473101014,   1,   1,   9,   2,   5,   5,   16
925644791,   1,   1,   6,   5,   10,   0,   53
257215285,   1,   1,   1,   10,   7,   3,   26
1592838395,   1,   1,   8,   3,   10,   0,   747
426463161,   1,   4,   2,   9,   1,   9,   25
1135003455,   1,   1,   7,   4,   7,   3,   20
1206551268,   1,   1,   5,   6,   6,   4,   19
7911317,   1,   2,   7,   4,   4,   6,   18
507210088,   1,   1,   7,   4,   1,   9,   18
243270645,   1,   1,   10,   1,   10,   0,   30
494855563,   1,   4,   3,   8,   3,   7,   19
832744734,   1,   4,   6,   5,   4,   6,   25
575769234,   1,   4,   5,   6,   2,   8,   18
1593797747,   1,   2,   7,   4,   6,   4,   23
1220576347,   1,   1,   5,   6,   10,   0,   10
1095492504,   1,   1,   7,   4,   5,   5,   23
1964341748,   1,   2,   11,   0,   6,   4,   25
540958748,   1,   4,   3,   8,   6,   4,   19
290971202,   1,   1,   4,   7,   10,   0,   11
1741634887,   1,   1,   4,   7,   6,   4,   17
239406149,   1,   4,   5,   6,   4,   6,   16
1523236,   1,   2,   7,   4,   2,   8,   28
28122507,   1,   1,   0,   11,   8,   2,   20
883951617,   1,   2,   11,   0,   3,   7,   14
824426435,   1,   2,   4,   7,   1,   9,   17
352066450,   1,   1,   2,   9,   4,   6,   20
427039040,   1,   1,   2,   9,   2,   8,   22
254160533,   1,   1,   1,   10,   5,   5,   17
2009300810,   1,   1,   10,   1,   8,   2,   20
1921461364,   1,   2,   8,   3,   2,   8,   16
583154914,   1,   1,   4,   7,   10,   0,   18
921801609,   1,   2,   7,   4,   4,   6,   20
1573463810,   1,   1,   3,   8,   3,   7,   18
111183954,   1,   2,   10,   1,   3,   7,   18
1421578772,   1,   1,   4,   7,   6,   4,   26
2067149435,   1,   1,   0,   11,   4,   6,   23
1505304918,   1,   1,   4,   7,   5,   5,   17
1463645938,   1,   1,   4,   7,   8,   2,   21
33043517,   1,   4,   4,   7,   5,   5,   15
504892389,   1,   2,   10,   1,   8,   2,   21
1764498263,   1,   2,   10,   1,   4,   6,   27
1474699631,   1,   2,   11,   0,   8,   2,   19
745930212,   1,   4,   5,   6,   1,   9,   20
755342075,   1,   1,   8,   3,   10,   0,   26
96211660,   1,   1,   5,   6,   8,   2,   20
407324605,   1,   1,   5,   6,   5,   5,   18
1372278038,   1,   1,   5,   6,   9,   1,   17
1325625543,   1,   2,   7,   4,   5,   5,   16
150760014,   1,   2,   10,   1,   5,   5,   21
1870891506,   1,   1,   5,   6,   10,   0,   17
2090404415,   1,   1,   8,   3,   10,   0,   18
